//////////// EXTRASUNNY_LA
//Amb		Amb_Obj		Dir			Sky top		Sky bot		SunCore		SunCorona		SunSz		SprSz		SprBght	Shdw		LightShd	PoleShd	FarClp	FogSt		LightOnGround	LowCloudsRGB		BottomCloudRGB		WaterRGBA			Alpha1	RGB1			Alpha2	RGB2			CloudAlpha
//Midnight
 5 5 5 220 212 130 255 255 255 2 0 6 10 10 10 255 128 0 5 0 0 1.00 1.00 0.70 200 100 0 800.00 100.00 1.00 30 20 0 3 3 3 5 5 10 240 255 0 0 0 255 0 0 0 0 0 0
//5AM
 5 5 5 194 194 142 255 255 255 2 0 6 10 10 10 255 188 0 255 0 0 0.00 1.00 0.70 150 100 0 800.00 100.00 1.00 35 9 10 27 30 36 5 5 10 240 255 0 0 0 255 0 0 0 0 0 0
//6AM
 100 100 100 210 194 182 255 255 255 48 77 160 133 96 57 255 188 0 255 0 0 3.20 7.50 0.00 140 93 0 800.00 100.00 0.80 100 34 25 120 92 88 90 170 170 240 255 86 86 86 255 149 94 0 0 0 0
//7AM
 40 40 30 255 255 255 255 255 255 55 102 149 105 109 118 255 255 255 255 255 255 1.10 1.00 0.00 255 255 255 800.00 100.00 0.50 120 40 40 159 142 106 145 170 170 240 255 133 106 70 255 96 61 15 0 0 0
//Midday
 40 40 35 255 255 255 255 255 255 55 102 149 105 109 118 255 255 255 255 255 255 1.10 1.00 0.00 255 255 255 800.00 10.00 0.00 44 34 23 145 164 183 90 170 170 240 255 66 66 48 255 128 111 83 0 0 0
//7PM
 40 40 30 255 255 255 255 255 255 80 123 163 132 132 96 50 10 0 255 128 0 1.10 1.00 0.30 255 255 255 800.00 10.00 0.80 120 40 40 200 123 96 50 97 97 240 255 124 124 107 255 86 50 10 0 0 0
//8PM
 20 20 20 210 194 182 255 255 255 179 100 82 202 110 100 255 128 0 255 128 0 2.00 1.00 0.70 100 60 0 800.00 10.00 1.00 120 40 40 72 107 159 67 67 67 240 255 81 85 40 255 66 27 0 0 0 0
//10PM
 5 5 5 220 212 130 255 255 255 2 0 6 10 10 10 255 128 0 5 0 0 1.00 1.00 0.70 200 100 0 800.00 100.00 1.00 30 20 0 3 3 3 5 5 10 240 255 0 0 0 255 0 0 0 0 0 0
//
//////////// SUNNY_LA
//Amb		Amb_Obj		Dir			Sky top		Sky bot		SunCore		SunCorona		SunSz		SprSz		SprBght	Shdw		LightShd	PoleShd	FarClp	FogSt		LightOnGround	LowCloudsRGB		BottomCloudRGB		WaterRGBA			Alpha1	RGB1			Alpha2	RGB2			CloudAlpha
//Midnight
 5 5 5 220 212 130 255 255 255 13 16 26 48 54 55 255 128 0 5 0 0 1.00 1.00 0.70 200 100 0 800.00 100.00 1.00 10 10 10 10 10 10 5 5 10 240 255 0 0 0 255 0 0 0 255 255 0
//5AM
 5 5 5 194 194 142 255 255 255 13 16 26 48 54 55 255 188 0 255 0 0 0.00 1.00 0.70 150 100 0 800.00 100.00 1.00 10 10 10 10 10 10 5 5 10 240 255 0 0 0 255 0 0 0 255 255 0
//6AM
 100 100 100 210 194 182 255 255 255 78 97 160 46 97 139 255 188 0 255 0 0 3.20 7.50 0.00 140 93 0 800.00 100.00 0.80 120 80 40 100 100 100 90 170 170 240 255 86 86 86 255 149 94 0 255 255 0
//7AM
 40 40 30 255 255 255 255 255 255 98 117 200 66 117 179 255 255 255 255 255 255 1.10 1.00 0.30 255 255 255 800.00 100.00 0.50 200 200 200 200 200 200 145 170 170 240 255 133 106 70 255 96 61 15 255 255 0
//Midday
 40 40 35 255 255 255 255 255 255 98 117 200 66 117 179 255 255 255 255 255 255 1.10 1.00 0.00 255 255 255 800.00 10.00 0.00 200 200 200 200 200 200 90 170 170 240 255 66 66 48 255 128 111 83 255 255 0
//7PM
 40 40 30 255 255 255 255 255 255 98 117 200 66 117 179 50 10 0 255 128 0 1.10 1.00 0.70 255 255 255 800.00 10.00 0.80 200 200 200 200 200 200 50 97 97 240 255 124 124 107 255 86 50 10 255 255 0
//8PM
 22 20 10 210 194 182 255 255 255 136 87 109 220 133 106 255 128 0 5 8 0 1.00 0.40 0.50 160 100 0 800.00 41.00 1.00 70 27 10 55 55 55 67 67 62 240 127 129 0 0 127 66 106 0 111 60 0
//10PM
 5 5 5 220 212 130 255 255 255 13 16 26 48 54 55 255 128 0 5 0 0 1.00 1.00 0.70 200 100 0 800.00 100.00 1.00 10 10 10 10 10 10 5 5 10 240 255 0 0 0 255 0 0 0 255 255 0
//
//////////// EXTRASUNNY_SMOG_LA
//Amb		Amb_Obj		Dir			Sky top		Sky bot		SunCore		SunCorona		SunSz		SprSz		SprBght	Shdw		LightShd	PoleShd	FarClp	FogSt		LightOnGround	LowCloudsRGB		BottomCloudRGB		WaterRGBA			Alpha1	RGB1			Alpha2	RGB2			CloudAlpha
//Midnight
 5 5 5 220 212 130 255 255 255 68 59 57 68 59 57 255 128 0 5 0 0 1.00 1.00 0.70 200 100 0 500.00 -100.00 1.00 30 20 0 3 3 3 5 5 10 240 255 0 0 0 255 0 0 0 0 0 0
//5AM
 5 5 5 194 194 142 255 255 255 68 59 57 68 59 57 255 128 0 255 128 0 0.00 1.00 0.70 150 100 0 500.00 -100.00 1.00 35 9 10 27 30 36 5 5 10 240 255 0 0 0 255 0 0 0 0 0 0
//6AM
 100 100 100 210 194 182 255 255 255 155 155 155 198 124 85 255 128 0 255 128 0 1.10 1.00 0.00 140 93 0 500.00 -100.00 0.80 100 34 25 120 92 88 90 170 170 240 255 86 86 86 255 149 94 0 0 0 0
//7AM
 40 40 30 255 255 255 255 255 255 155 155 155 198 124 85 255 255 255 255 255 255 1.10 1.00 0.30 255 255 255 500.00 -100.00 0.50 120 40 40 159 142 106 145 170 170 240 255 133 106 70 255 96 61 15 0 0 0
//Midday
 40 40 35 255 255 255 255 255 255 112 138 166 130 130 150 255 255 255 255 255 255 1.10 1.00 0.00 255 255 255 500.00 -100.00 0.00 44 34 23 145 164 183 90 170 170 240 255 66 66 48 255 128 111 83 0 0 0
//7PM
 40 40 30 255 255 255 255 255 255 112 138 166 130 130 150 50 10 0 255 128 0 1.10 1.00 0.30 255 255 255 500.00 -100.00 0.80 120 40 40 200 123 96 50 97 97 240 255 124 124 107 255 86 50 10 0 0 0
//8PM
 20 20 20 210 194 182 255 255 255 204 170 145 163 137 109 255 128 0 255 128 0 1.00 1.00 0.70 100 60 0 500.00 -100.00 1.00 120 40 40 72 107 159 67 67 67 240 255 81 85 40 255 66 27 0 0 0 0
//10PM
 5 5 5 220 212 130 255 255 255 68 59 57 68 59 57 255 128 0 5 0 0 1.00 1.00 0.70 200 100 0 500.00 -100.00 1.00 30 20 0 3 3 3 5 5 10 240 255 0 0 0 255 0 0 0 0 0 0
//
//////////// SUNNY_SMOG_LA
//Amb		Amb_Obj		Dir			Sky top		Sky bot		SunCore		SunCorona		SunSz		SprSz		SprBght	Shdw		LightShd	PoleShd	FarClp	FogSt		LightOnGround	LowCloudsRGB		BottomCloudRGB		WaterRGBA			Alpha1	RGB1			Alpha2	RGB2			CloudAlpha
//Midnight
 5 5 5 220 212 130 255 255 255 68 59 57 68 59 57 255 128 0 5 0 0 1.00 1.00 0.70 200 100 0 500.00 -100.00 1.00 10 10 10 10 10 10 5 5 10 240 255 0 0 0 255 0 0 0 50 50 0
//5AM
 5 5 5 194 194 142 255 255 255 68 59 57 68 59 57 255 128 0 255 128 0 0.00 1.00 0.70 150 100 0 500.00 -100.00 1.00 10 10 10 10 10 10 5 5 10 240 255 0 0 0 255 0 0 0 50 50 0
//6AM
 100 100 100 210 194 182 255 255 255 215 191 149 179 159 136 255 128 0 255 128 0 1.10 1.00 0.00 140 93 0 500.00 -100.00 0.80 120 80 40 100 100 100 90 170 170 240 255 86 86 86 255 149 94 0 50 50 0
//7AM
 40 40 30 255 255 255 255 255 255 112 138 166 130 130 150 255 255 255 255 255 255 1.10 1.00 0.30 255 255 255 500.00 -100.00 0.50 150 140 130 150 140 130 145 170 170 240 255 133 106 70 255 96 61 15 50 50 0
//Midday
 40 40 35 255 255 255 255 255 255 112 138 166 130 130 150 255 255 255 255 255 255 1.10 1.00 0.00 255 255 255 500.00 -100.00 0.00 150 140 130 150 140 130 90 170 170 240 255 66 66 48 255 128 111 83 50 50 0
//7PM
 40 40 30 255 255 255 255 255 255 112 138 166 130 130 150 50 10 0 255 128 0 1.10 1.00 0.30 255 255 255 500.00 -100.00 0.80 150 140 130 150 140 130 50 97 97 240 255 124 124 107 255 86 50 10 50 50 0
//8PM
 20 20 20 210 194 182 255 255 255 211 176 137 163 137 109 255 128 0 255 128 0 2.00 1.00 0.70 100 60 0 500.00 -100.00 1.00 120 80 40 182 124 18 67 67 67 240 255 81 85 40 255 66 27 0 50 50 0
//10PM
 5 5 5 220 212 130 255 255 255 68 59 57 68 59 57 255 128 0 5 0 0 1.00 1.00 0.70 200 100 0 500.00 -100.00 1.00 10 10 10 10 10 10 5 5 10 240 255 0 0 0 255 0 0 0 50 50 0
//
//////////// CLOUDY_LA
//Amb		Amb_Obj		Dir			Sky top		Sky bot		SunCore		SunCorona		SunSz		SprSz		SprBght	Shdw		LightShd	PoleShd	FarClp	FogSt		LightOnGround	LowCloudsRGB		BottomCloudRGB		WaterRGBA			Alpha1	RGB1			Alpha2	RGB2			CloudAlpha
//Midnight
 5 5 5 157 176 208 255 255 255 53 48 41 64 54 49 10 10 0 10 0 0 1.00 1.00 0.20 200 100 0 700.00 79.00 1.00 10 10 10 10 10 10 5 5 10 240 255 0 0 0 255 0 0 0 255 255 0
